JoiningYear,PaymentTier,Age,ExperienceInCurrentDomain,LeaveOrNot
2017,0.003,34,0,0
2013,0.001,28,3,1
2014,0.003,38,2,0
2016,0.003,27,5,1
2017,0.003,24,2,1
2016,0.003,22,0,0
2015,0.003,38,0,0
2016,0.003,34,2,1
2016,0.003,23,1,0
2017,0.002,37,2,0
2012,0.003,27,5,1
2016,0.003,34,3,0
2018,0.003,32,5,1
2016,0.003,39,2,0
2012,0.003,37,4,0
2017,0.001,29,3,0
2014,0.003,34,2,0
2014,0.003,34,4,0
2015,0.002,30,0,1
2016,0.002,22,0,1
2012,0.003,37,0,0
2017,0.002,28,4,0
2017,0.002,36,3,0
2015,0.003,27,5,0
2017,0.003,29,4,0
2013,0.003,22,0,0
2016,0.003,37,2,0
2015,0.003,23,1,0
2013,0.002,31,2,1
2017,0.002,30,2,0
2013,0.003,25,3,0
2014,0.003,23,1,0
2018,0.003,26,4,1
2016,0.003,40,5,0
2017,0.002,37,0,1
2014,0.001,30,3,0
2012,0.003,29,3,0
2018,0.002,34,0,1
2017,0.002,29,2,1
2014,0.003,30,4,0
2015,0.003,36,1,0
2017,0.002,23,1,0
2013,0.003,30,3,1
2014,0.003,36,0,0
2015,0.003,39,4,0
2014,0.003,23,1,0
2012,0.003,27,5,0
2013,0.003,35,2,0
2017,0.002,34,0,0
2013,0.003,30,1,0
2017,0.003,34,2,0
2015,0.002,26,4,1
2016,0.003,34,0,0
2014,0.003,31,5,0
2017,0.003,31,5,0
2013,0.003,28,2,0
2016,0.003,38,2,0
2014,0.003,39,2,0
2013,0.003,32,4,0
2017,0.002,36,2,1
2013,0.003,29,3,0
2015,0.003,30,5,0
2013,0.002,25,3,1
2014,0.001,22,0,1
2016,0.003,34,4,0
2018,0.003,40,1,1
2013,0.003,26,4,0
2014,0.003,28,0,0
2015,0.003,24,2,0
2017,0.003,40,2,1
2018,0.003,23,1,1
2017,0.003,31,4,0
2014,0.003,25,3,0
2014,0.001,27,5,0
2017,0.002,25,3,1
2015,0.003,40,0,1
2014,0.001,23,1,0
2017,0.003,23,1,0
2012,0.003,39,1,0
2015,0.001,37,1,0
2017,0.003,38,2,0
2013,0.003,31,0,1
2016,0.003,38,5,0
2017,0.003,25,3,0
2015,0.003,27,5,1
2016,0.002,36,0,1
2017,0.002,27,5,1
2015,0.002,32,4,0
2014,0.003,28,4,0
2012,0.003,32,2,0
2018,0.003,30,0,1
2015,0.003,22,0,0
2017,0.002,34,5,0
2013,0.003,36,2,0
2014,0.003,39,3,1
2018,0.003,26,4,1
2016,0.003,31,0,0
2014,0.003,27,5,1
2014,0.003,29,0,0
2015,0.003,24,2,1
2012,0.003,25,3,1
2013,0.003,25,3,0
2017,0.003,26,4,1
2015,0.002,28,1,1
2017,0.003,28,2,0
2015,0.001,28,3,1
2015,0.003,25,3,0
2017,0.003,28,1,0
2013,0.003,25,3,0
2015,0.002,25,3,1
2015,0.003,27,5,0
2017,0.002,27,5,1
2013,0.003,27,5,1
2012,0.003,25,3,0
2017,0.002,28,2,0
2014,0.001,26,4,1
2015,0.003,28,2,0
2013,0.003,26,4,0
2017,0.003,26,4,0
2017,0.002,25,3,0
2012,0.001,28,3,0
2015,0.003,26,4,0
2015,0.003,25,3,0
2012,0.003,26,4,1
2014,0.003,28,3,0
2014,0.003,24,2,0
2013,0.003,28,1,0
2015,0.003,27,5,0
2018,0.003,25,3,1
2013,0.001,24,2,1
2017,0.003,26,4,0
2013,0.003,28,1,1
2016,0.003,27,5,0
2017,0.003,26,4,0
2017,0.002,24,2,0
2018,0.003,26,4,1
2017,0.001,25,3,1
2012,0.003,28,2,0
2017,0.003,28,2,0
2013,0.003,26,4,0
2013,0.003,27,5,1
2017,0.002,24,2,1
2017,0.003,28,2,0
2016,0.003,26,4,0
2013,0.003,27,5,0
2015,0.002,28,3,0
2014,0.003,25,3,0
2016,0.003,28,1,0
2013,0.001,25,3,1
2015,0.003,26,4,0
2018,0.003,27,5,1
2016,0.003,24,2,1
2012,0.002,24,2,1
2014,0.003,26,4,0
2016,0.002,24,2,1
2012,0.003,26,4,0
2013,0.003,28,3,0
2012,0.003,24,2,1
2015,0.003,25,3,1
2016,0.003,28,3,0
2014,0.003,28,3,0
2013,0.003,26,4,0
2017,0.003,24,2,1
2016,0.003,25,3,1
2015,0.003,25,3,0
2014,0.003,27,5,0
2012,0.003,24,2,0
2014,0.003,25,3,0
2015,0.003,28,3,0
2015,0.003,26,4,1
2014,0.003,28,1,0
2015,0.003,25,3,0
2015,0.002,28,2,0
2014,0.003,27,5,0
2013,0.003,26,4,0
2016,0.003,26,4,0
2012,0.003,25,3,0
2015,0.003,25,3,0
2014,0.003,24,2,0
2012,0.003,27,5,1
2017,0.003,27,5,1
2015,0.003,27,5,0
2018,0.003,24,2,1
2017,0.003,27,5,1
2017,0.002,28,1,1
2017,0.002,24,2,1
2016,0.003,25,3,1
2015,0.003,28,1,0
2017,0.002,26,4,0
2013,0.002,27,5,0
2015,0.003,26,4,0
2015,0.003,26,4,0
2013,0.003,28,1,0
2015,0.003,27,5,0
2013,0.003,25,3,0
2013,0.003,28,1,0
2017,0.003,24,2,0
2013,0.003,27,5,0
2015,0.003,28,2,0
2015,0.003,28,3,0
2014,0.002,25,3,1
2014,0.003,25,3,0
2017,0.003,27,5,0
2014,0.002,26,4,1
2013,0.003,24,2,0
2015,0.002,26,4,1
2017,0.003,25,3,0
2013,0.002,27,5,1
2017,0.003,28,2,0
2012,0.003,25,3,1
2017,0.003,27,5,0
2017,0.002,27,5,0
2013,0.002,28,2,1
2017,0.003,28,1,1
2018,0.003,27,5,1
2014,0.003,25,3,0
2017,0.003,27,5,1
2013,0.003,26,4,1
2013,0.002,25,3,1
2012,0.003,26,4,1
2016,0.003,25,3,1
2013,0.002,26,4,0
2018,0.003,28,2,1
2013,0.003,27,5,0
2015,0.001,24,2,1
2013,0.003,28,2,0
2015,0.002,27,5,1
2018,0.003,25,3,1
2014,0.002,27,5,1
2013,0.003,24,2,0
2014,0.003,24,2,0
2015,0.002,25,3,0
2014,0.003,26,4,0
2018,0.003,24,2,1
2015,0.002,25,3,0
2015,0.003,24,2,0
2014,0.003,24,2,0
2017,0.002,26,4,1
2012,0.003,28,1,0
2017,0.002,26,4,0
2016,0.003,25,3,0
2017,0.003,24,2,1
2013,0.002,28,3,1
2014,0.003,25,3,1
2014,0.003,25,3,0
2014,0.002,24,2,1
2015,0.003,28,2,1
2015,0.003,27,5,0
2016,0.003,26,4,0
2015,0.003,26,4,1
2016,0.001,28,2,0
2014,0.003,25,3,0
2014,0.003,27,5,0
2017,0.003,28,2,0
2018,0.003,24,2,1
2017,0.002,25,3,0
2018,0.002,24,2,1
2017,0.002,28,1,0
2013,0.001,27,5,0
2017,0.002,27,5,0
2017,0.003,28,1,0
2016,0.002,27,5,1
2018,0.003,24,2,1
2012,0.001,26,4,0
2016,0.003,26,4,0
2016,0.001,27,5,0
2015,0.003,26,4,0
2012,0.003,27,5,0
2013,0.003,24,2,1
2018,0.003,26,4,1
2017,0.002,26,4,1
2017,0.002,28,2,0
2013,0.003,28,1,0
2013,0.003,25,3,0
2018,0.003,28,1,1
2013,0.003,27,5,1
2012,0.003,25,3,0
2014,0.003,28,1,0
2017,0.003,28,3,0
2017,0.002,28,2,0
2014,0.003,25,3,0
2017,0.003,26,4,0
2015,0.001,25,3,1
2013,0.003,27,5,0
2014,0.003,24,2,0
2017,0.002,27,5,0
2018,0.003,26,4,1
2012,0.003,26,4,0
2015,0.003,27,5,1
2018,0.003,26,4,1
2016,0.003,24,2,0
2017,0.002,25,3,0
2017,0.002,28,1,0
2012,0.003,27,5,0
2013,0.003,26,4,1
2015,0.003,26,4,1
2014,0.003,28,2,0
2016,0.003,24,2,1
2012,0.003,28,3,0
2012,0.003,27,5,0
2013,0.003,26,4,0
2014,0.003,28,1,0
2014,0.003,27,5,0
2015,0.003,26,4,1
2014,0.003,26,4,1
2015,0.003,25,3,0
2015,0.003,25,3,0
2012,0.003,27,5,0
2017,0.002,24,2,0
2016,0.003,24,2,0
2015,0.003,28,2,0
2017,0.003,24,2,0
2017,0.003,25,3,0
2017,0.001,25,3,0
2015,0.003,28,2,0
2017,0.003,26,4,0
2014,0.003,24,2,0
2014,0.003,25,3,1
2018,0.003,26,4,1
2016,0.003,27,5,0
2017,0.003,28,2,0
2012,0.003,28,2,0
2012,0.003,24,2,1
2013,0.003,26,4,0
2015,0.003,26,4,0
2017,0.003,28,1,0
2018,0.003,25,3,1
2017,0.003,24,2,0
2013,0.003,28,2,1
2017,0.003,24,2,0
2017,0.002,25,3,1
2013,0.002,28,1,1
2015,0.003,24,2,0
2016,0.003,26,4,0
2015,0.002,27,5,1
2018,0.003,24,2,1
2013,0.003,27,5,0
2013,0.003,24,2,0
2013,0.003,24,2,0
2013,0.003,27,5,0
2017,0.003,26,4,0
2015,0.003,24,2,0
2012,0.003,24,2,1
2016,0.003,24,2,1
2012,0.003,28,3,0
2017,0.002,27,5,0
2012,0.002,27,5,1
2017,0.002,27,5,0
2017,0.002,24,2,1
2016,0.001,26,4,1
2015,0.003,26,4,1
2016,0.003,25,3,1
2012,0.003,26,4,0
2017,0.003,28,2,0
2012,0.003,25,3,0
2017,0.003,25,3,0
2017,0.002,26,4,0
2017,0.003,28,1,1
2015,0.002,25,3,1
2017,0.002,26,4,0
2017,0.002,26,4,0
2016,0.003,27,5,0
2017,0.003,27,5,0
2015,0.003,24,2,0
2017,0.001,26,4,1
2017,0.001,28,2,0
2015,0.003,24,2,0
2015,0.002,25,3,1
2014,0.003,25,3,0
2014,0.003,28,2,0
2017,0.003,28,3,0
2015,0.001,27,5,0
2014,0.001,26,4,1
2018,0.003,25,3,1
2016,0.003,28,3,0
2018,0.003,26,4,1
2015,0.002,24,2,1
2017,0.003,27,5,0
2014,0.003,26,4,0
2014,0.003,24,2,0
2016,0.003,28,2,0
2015,0.002,25,3,1
2013,0.003,27,5,0
2015,0.003,28,3,0
2014,0.003,26,4,0
2012,0.003,24,2,0
2013,0.003,27,5,0
2015,0.003,26,4,1
2015,0.003,28,2,0
2014,0.002,24,2,1
2013,0.003,24,2,0
2018,0.003,28,3,1
2015,0.003,27,5,0
2014,0.002,26,4,0
2016,0.003,25,3,1
2013,0.003,25,3,0
2014,0.003,25,3,0
2017,0.002,28,1,0
2015,0.001,26,4,1
2017,0.003,26,4,1
2014,0.003,27,5,0
2012,0.003,24,2,0
2017,0.002,24,2,0
2015,0.003,26,4,0
2012,0.003,26,4,0
2015,0.003,24,2,0
2014,0.003,25,3,0
2015,0.003,28,2,0
2016,0.003,24,2,0
2016,0.003,26,4,0
2015,0.002,25,3,1
2013,0.002,25,3,1
2017,0.003,25,3,0
2015,0.002,26,4,1
2015,0.002,26,4,1
2012,0.003,27,5,0
2017,0.003,28,2,0
2016,0.003,25,3,0
2016,0.003,24,2,0
2016,0.003,28,1,0
2013,0.003,27,5,0
2015,0.003,26,4,0
2016,0.003,27,5,0
2017,0.002,27,5,0
2012,0.003,27,5,0
2018,0.003,25,3,1
2014,0.003,27,5,0
2013,0.003,26,4,0
2017,0.002,24,2,1
2016,0.002,28,3,1
2014,0.003,26,4,1
2017,0.002,27,5,1
2013,0.003,27,5,0
2014,0.003,28,1,0
2017,0.003,27,5,0
2015,0.003,26,4,1
2014,0.003,26,4,1
2012,0.003,27,5,0
2017,0.003,26,4,0
2017,0.002,27,5,1
2017,0.003,27,5,0
2016,0.003,25,3,1
2016,0.003,27,5,0
2014,0.003,25,3,0
2017,0.003,28,1,0
2012,0.003,24,2,0
2014,0.003,25,3,0
2013,0.002,25,3,1
2012,0.003,27,5,0
2017,0.003,26,4,0
2013,0.003,26,4,0
2016,0.003,24,2,0
2014,0.003,25,3,0
2015,0.003,25,3,0
2012,0.003,24,2,0
2013,0.003,27,5,0
2015,0.003,25,3,0
2016,0.003,26,4,0
2015,0.003,24,2,0
2012,0.003,26,4,0
2013,0.003,24,2,0
2017,0.003,24,2,1
2014,0.001,25,3,0
2018,0.003,28,1,1
2017,0.003,28,3,0
2013,0.003,28,2,1
2013,0.003,26,4,0
2018,0.001,24,2,1
2012,0.003,25,3,0
2013,0.002,27,5,0
2018,0.003,28,2,1
2014,0.003,28,3,1
2014,0.003,27,5,0
2013,0.003,24,2,1
2015,0.002,28,1,1
2015,0.002,26,4,1
2017,0.002,28,3,0
2012,0.003,27,5,1
2017,0.003,25,3,1
2013,0.002,25,3,1
2017,0.002,27,5,1
2017,0.003,24,2,0
2016,0.002,24,2,1
2012,0.003,26,4,0
2012,0.003,24,2,1
2017,0.002,24,2,0
2015,0.002,25,3,1
2015,0.003,26,4,0
2013,0.002,24,2,1
2013,0.003,25,3,0
2015,0.002,28,1,0
2016,0.003,24,2,0
2017,0.003,24,2,0
2016,0.003,27,5,0
2017,0.003,25,3,0
2014,0.003,27,5,0
2016,0.003,27,5,0
2016,0.003,28,3,0
2018,0.003,25,3,1
2013,0.003,26,4,1
2015,0.003,25,3,1
2017,0.002,25,3,1
2012,0.003,25,3,0
2014,0.003,28,2,0
2017,0.002,27,5,0
2018,0.003,26,4,1
2014,0.003,28,2,0
2013,0.003,27,5,1
2017,0.003,25,3,1
2018,0.003,28,2,1
2016,0.003,24,2,0
2012,0.003,24,2,0
2015,0.003,28,1,0
2014,0.003,24,2,0
2013,0.003,27,5,0
2016,0.003,24,2,0
2012,0.003,25,3,0
2012,0.003,28,3,0
2018,0.003,25,3,1
2014,0.003,27,5,1
2016,0.003,27,5,0
2015,0.002,24,2,0
2014,0.003,24,2,1
2013,0.003,25,3,0
2017,0.003,24,2,0
2015,0.003,25,3,0
2017,0.003,24,2,0
2017,0.002,28,3,0
2016,0.003,28,2,0
2014,0.003,24,2,0
2017,0.002,26,4,0
2018,0.003,25,3,1
2014,0.003,28,3,1
2014,0.003,25,3,1
2018,0.003,28,3,1
2017,0.002,25,3,1
2013,0.003,28,2,0
2014,0.003,26,4,0
2017,0.002,25,3,1
2013,0.003,25,3,0
2016,0.003,25,3,0
2018,0.003,24,2,1
2017,0.002,26,4,1
2013,0.003,24,2,0
2013,0.003,28,2,0
2015,0.003,28,2,0
2015,0.002,27,5,1
2014,0.002,27,5,0
2017,0.002,27,5,0
2012,0.003,26,4,0
2015,0.001,27,5,0
2013,0.001,28,3,1
2012,0.002,26,4,1
2013,0.003,27,5,0
2017,0.002,25,3,0
2017,0.003,27,5,0
2012,0.003,24,2,0
2017,0.003,26,4,0
2014,0.003,28,1,1
2015,0.003,25,3,0
2015,0.002,28,3,1
2017,0.003,24,2,0
2016,0.003,27,5,1
2012,0.003,25,3,0
2018,0.003,25,3,1
2015,0.003,26,4,0
2014,0.003,26,4,0
2017,0.003,27,5,0
2012,0.003,26,4,0
2016,0.003,26,4,0
2017,0.003,28,2,0
2014,0.003,25,3,0
2013,0.003,28,3,0
2017,0.003,25,3,0
2018,0.003,27,5,1
2017,0.003,26,4,0
2017,0.002,25,3,1
2017,0.002,26,4,1
2015,0.003,28,3,0
2017,0.002,26,4,1
2015,0.003,28,2,0
2012,0.002,25,3,1
2016,0.003,25,3,0
2017,0.002,26,4,0
2014,0.003,25,3,0
2014,0.003,25,3,1
2018,0.003,26,4,1
2016,0.003,26,4,0
2014,0.003,27,5,0
2012,0.003,25,3,0
2012,0.002,26,4,0
2016,0.003,27,5,1
2017,0.003,28,1,0
2014,0.003,27,5,0
2018,0.003,26,4,1
2018,0.001,27,5,0
2016,0.003,24,2,0
2012,0.003,25,3,0
2017,0.003,27,5,0
2016,0.003,28,2,0
2017,0.002,27,5,0
2013,0.003,25,3,0
2013,0.003,28,1,0
2018,0.003,28,3,1
2016,0.003,27,5,0
2015,0.002,28,3,0
2015,0.003,24,2,1
2017,0.003,24,2,0
2015,0.002,24,2,1
2013,0.003,28,2,1
2017,0.003,27,5,1
2014,0.003,26,4,0
2016,0.003,26,4,0
2014,0.001,26,4,1
2015,0.003,28,3,0
2012,0.003,26,4,0
2017,0.002,26,4,0
2017,0.002,26,4,0
2016,0.003,26,4,1
2013,0.003,26,4,0
2014,0.003,28,3,1
2014,0.003,28,3,0
2014,0.003,25,3,1
2016,0.003,28,3,0
2017,0.003,27,5,1
2015,0.003,25,3,0
2014,0.003,27,5,0
2012,0.003,28,3,0
2017,0.003,26,4,1
2013,0.003,25,3,0
2015,0.002,28,2,1
2013,0.001,26,4,0
2012,0.003,27,5,1
2016,0.001,28,2,0
2017,0.003,27,5,0
2017,0.003,25,3,0
2017,0.002,24,2,1
2015,0.001,25,3,0
2018,0.003,27,5,1
2014,0.003,26,4,0
2018,0.003,26,4,1
2015,0.002,24,2,1
2018,0.003,27,5,1
2016,0.003,27,5,0
2016,0.003,25,3,1
2018,0.003,26,4,1
2018,0.003,24,2,1
2017,0.002,28,3,0
2015,0.003,27,5,0
2017,0.003,26,4,0
2016,0.003,25,3,0
2013,0.003,25,3,0
2015,0.003,25,3,1
2014,0.003,28,3,0
2015,0.003,24,2,0
2016,0.003,26,4,0
2018,0.001,25,3,0
2017,0.002,28,1,0
2014,0.002,25,3,1
2017,0.003,25,3,0
2016,0.003,28,3,0
2014,0.003,28,2,0
2017,0.002,28,2,0
2017,0.002,24,2,0
2013,0.002,25,3,1
2017,0.003,24,2,0
2017,0.003,26,4,0
2015,0.001,25,3,0
2016,0.003,26,4,0
2014,0.003,28,2,1
2018,0.003,27,5,1
2016,0.003,27,5,0
2017,0.002,25,3,1
2017,0.003,26,4,0
2016,0.003,27,5,0
2017,0.002,25,3,1
2018,0.003,28,1,1
2014,0.003,25,3,1
2018,0.003,28,1,1
2017,0.001,26,4,0
2013,0.003,24,2,1
2012,0.003,26,4,0
2012,0.003,25,3,0
2013,0.002,24,2,1
2018,0.003,26,4,1
2016,0.003,28,2,0
2016,0.003,26,4,0
2014,0.003,24,2,0
2013,0.003,26,4,0
2014,0.002,26,4,1
2014,0.003,25,3,0
2013,0.003,27,5,0
2018,0.003,27,5,1
2015,0.003,25,3,1
2016,0.003,26,4,0
2015,0.002,27,5,1
2017,0.003,26,4,0
2017,0.002,26,4,0
2017,0.003,27,5,0
2017,0.001,24,2,0
2017,0.002,26,4,0
2015,0.003,27,5,0
2015,0.003,26,4,0
2017,0.002,24,2,1
2017,0.003,26,4,0
2014,0.003,26,4,0
2015,0.003,28,1,1
2017,0.002,24,2,0
2013,0.002,25,3,1
2013,0.003,27,5,1
2017,0.003,27,5,0
2015,0.002,28,2,1
2014,0.002,24,2,1
2016,0.002,27,5,1
2017,0.003,27,5,0
2016,0.003,26,4,0
2015,0.002,27,5,0
2015,0.003,26,4,0
2018,0.003,27,5,1
2016,0.003,24,2,0
2014,0.003,24,2,0
2013,0.002,24,2,1
2012,0.003,26,4,0
2015,0.002,28,2,1
2018,0.003,26,4,1
2016,0.003,24,2,0
2017,0.003,24,2,1
2016,0.003,24,2,0
2013,0.003,28,1,1
2015,0.001,28,1,0
2018,0.003,24,2,1
2016,0.003,26,4,0
2013,0.003,27,5,0
2013,0.003,25,3,1
2016,0.003,24,2,1
2017,0.001,25,3,0
2013,0.003,28,3,0
2018,0.003,28,1,1
2017,0.003,24,2,0
2014,0.003,24,2,1
2012,0.003,24,2,0
2017,0.003,25,3,0
2014,0.003,27,5,0
2015,0.003,27,5,0
2014,0.003,25,3,1
2012,0.003,28,3,0
2012,0.003,25,3,0
2015,0.003,24,2,0
2013,0.003,27,5,0
2013,0.003,26,4,0
2012,0.002,26,4,0
2017,0.003,28,3,1
2015,0.003,25,3,1
2012,0.003,28,2,0
2017,0.002,26,4,1
2012,0.003,27,5,0
2016,0.003,28,1,0
2015,0.002,28,1,1
2017,0.003,24,2,1
2015,0.002,25,3,1
2014,0.003,24,2,0
2016,0.003,28,3,0
2016,0.003,25,3,0
2015,0.003,26,4,1
2015,0.003,28,3,0
2013,0.001,24,2,1
2014,0.003,24,2,0
2018,0.003,26,4,1
2013,0.003,26,4,0
2015,0.003,25,3,1
2017,0.003,28,2,0
2016,0.001,25,3,1
2013,0.003,25,3,1
2017,0.003,24,2,0
2013,0.003,25,3,1
2013,0.001,28,2,0
2014,0.003,27,5,1
2013,0.003,26,4,0
2016,0.003,25,3,0
2015,0.002,26,4,1
2017,0.003,25,3,0
2013,0.003,26,4,0
2013,0.002,27,5,0
2015,0.002,25,3,1
2016,0.003,25,3,0
2017,0.003,25,3,1
2016,0.003,28,1,0
2018,0.003,24,2,1
2015,0.003,28,3,0
2017,0.003,26,4,0
2017,0.002,26,4,1
2017,0.002,27,5,0
2013,0.002,26,4,1
2012,0.003,24,2,0
2013,0.003,28,3,0
2015,0.002,24,2,0
2016,0.003,25,3,0
2017,0.002,25,3,1
2016,0.003,26,4,0
2013,0.003,24,2,0
2012,0.002,25,3,1
2014,0.003,24,2,0
2017,0.003,27,5,1
2017,0.003,27,5,0
2013,0.003,27,5,0
2015,0.002,24,2,1
2017,0.003,24,2,0
2015,0.003,28,1,0
2017,0.003,27,5,0
2017,0.002,28,2,0
2017,0.002,25,3,0
2014,0.002,25,3,1
2016,0.003,28,3,0
2015,0.002,27,5,1
2017,0.002,25,3,1
2017,0.002,25,3,1
2017,0.003,24,2,1
2013,0.003,26,4,0
2018,0.003,24,2,1
2016,0.003,28,1,0
2017,0.002,24,2,1
2017,0.003,25,3,0
2017,0.003,25,3,0
2017,0.003,24,2,1
2014,0.003,25,3,1
2012,0.003,27,5,0
2012,0.003,27,5,0
2017,0.003,28,2,1
2012,0.003,28,3,1
2012,0.003,28,2,0
2018,0.003,24,2,1
2016,0.003,24,2,0
2017,0.002,27,5,1
2013,0.002,27,5,1
2015,0.003,26,4,0
2015,0.003,28,1,1
2014,0.003,27,5,0
2013,0.003,25,3,0
2015,0.003,26,4,1
2012,0.003,24,2,0
2012,0.003,26,4,0
2015,0.002,25,3,1
2013,0.003,24,2,0
2017,0.002,27,5,0
2017,0.002,26,4,0
2014,0.003,27,5,0
2018,0.003,25,3,1
2014,0.003,25,3,0
2013,0.002,27,5,1
2015,0.003,26,4,0
2017,0.002,24,2,1
2017,0.002,26,4,1
2013,0.002,25,3,1
2017,0.002,25,3,1
2013,0.003,26,4,0
2014,0.003,28,2,0
2016,0.003,27,5,0
2017,0.002,28,1,0
2014,0.003,27,5,0
2014,0.003,28,1,0
2015,0.003,27,5,1
2015,0.003,24,2,1
2018,0.003,24,2,1
2013,0.003,26,4,0
2012,0.003,28,2,0
2017,0.002,26,4,0
2017,0.002,25,3,1
2016,0.003,27,5,0
2012,0.003,26,4,0
2015,0.003,25,3,0
2012,0.003,26,4,0
2014,0.003,27,5,1
2017,0.002,26,4,0
2012,0.003,26,4,1
2015,0.002,26,4,1
2014,0.003,25,3,0
2015,0.003,28,2,0
2012,0.003,27,5,1
2017,0.002,27,5,0
2016,0.003,24,2,0
2017,0.003,27,5,0
2014,0.003,26,4,1
2017,0.003,24,2,0
2017,0.003,28,1,0
2014,0.003,26,4,1
2018,0.003,28,3,1
2014,0.003,24,2,0
2017,0.001,27,5,0
2015,0.003,24,2,0
2017,0.003,27,5,0
2017,0.003,28,3,0
2014,0.003,25,3,0
2017,0.003,25,3,0
2018,0.003,25,3,1
2013,0.003,28,3,0
2017,0.003,27,5,0
2013,0.003,27,5,0
2017,0.002,26,4,1
2014,0.003,24,2,0
2017,0.003,27,5,0
2012,0.003,27,5,0
2017,0.003,24,2,0
2014,0.003,25,3,0
2014,0.003,28,3,0
2018,0.003,26,4,1
2017,0.003,28,1,1
2018,0.003,27,5,1
2017,0.003,28,1,0
2016,0.003,25,3,0
2013,0.003,24,2,0
2018,0.003,25,3,1
2014,0.003,24,2,0
2012,0.003,26,4,0
2013,0.001,24,2,0
2013,0.001,24,2,1
2014,0.003,26,4,0
2017,0.003,27,5,0
2017,0.002,25,3,0
2015,0.003,28,1,0
2014,0.003,24,2,0
2018,0.003,24,2,1
2015,0.003,28,1,0
2015,0.003,26,4,0
2015,0.002,28,1,0
2018,0.003,25,3,1
2016,0.003,26,4,0
2015,0.003,27,5,1
